CowID,Lact,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
N05608634,5,66.0,51,53.0,49,64.0,51,41.0,48,58.0,47,3
N05608634,5,74.0,51,67.0,49,70.0,51,58.0,48,66.0,47,4
N05631057,6,73.0,51,61.0,49,67.0,51,65.0,48,50.0,47,4
N05631057,6,81.0,51,70.0,49,74.0,51,60.0,48,51.0,47,4
N06637507,8,60.0,51,53.0,49,60.0,51,45.0,48,43.0,47,3
N06647666,3,63.0,51,61.0,49,58.0,51,65.0,48,63.0,47,3
N06651089,4,21.0,51,22.0,49,25.0,51,46.0,48,40.0,47,2
N06653683,6,65.0,51,46.0,49,48.0,51,46.0,48,39.0,47,3
N06653683,7,78.0,51,55.0,49,70.0,51,43.0,48,29.0,47,4
N06653685,3,51.0,51,55.0,49,71.0,51,35.0,48,52.0,47,4
N06653685,3,62.0,51,71.0,49,79.0,51,56.0,48,67.0,47,4
N06653688,3,40.0,51,25.0,49,33.0,51,18.0,48,34.0,47,2
N06653688,3,48.0,51,49.0,49,54.0,51,40.0,48,52.0,47,3
N06661629,2,15.0,51,23.0,49,26.0,51,49.0,48,19.0,47,1
N06665487,6,77.0,51,62.0,49,72.0,51,64.0,48,45.0,47,4
N06669677,3,39.0,51,36.0,49,30.0,51,55.0,48,48.0,47,2
N06669687,1,22.0,51,15.0,49,10.0,51,43.0,48,26.0,47,1
N06673251,3,69.0,51,48.0,49,52.0,51,24.0,48,45.0,47,3
N07676751,5,59.0,51,51.0,49,53.0,51,64.0,48,51.0,47,3
N07680190,2,9.0,51,16.0,49,30.0,51,42.0,48,7.0,47,2
N07680190,2,9.0,51,24.0,49,39.0,51,51.0,48,8.0,47,2
N07680201,8,72.0,51,56.0,49,64.0,51,54.0,48,52.0,47,4
N07680427,2,43.0,51,40.0,49,40.0,51,55.0,48,51.0,47,3
N07680427,2,55.0,51,45.0,49,40.0,51,40.0,48,51.0,47,3
N07680427,4,89.0,51,72.0,49,78.0,51,61.0,48,68.0,47,4
N07680427,4,93.0,51,76.0,49,83.0,51,56.0,48,70.0,47,5
N07680427,4,94.0,51,82.0,49,86.0,51,55.0,48,66.0,47,5
N07680427,4,95.0,51,83.0,49,91.0,51,52.0,48,69.0,47,5
N07683929,5,79.0,51,56.0,49,73.0,51,62.0,48,57.0,47,4
N07683929,5,88.0,51,66.0,49,82.0,51,41.0,48,51.0,47,4
N07683929,5,90.0,51,73.0,49,85.0,51,48.0,48,54.0,47,4
N07683931,2,28.0,51,24.0,49,19.0,51,37.0,48,39.0,47,2
N07683933,5,53.0,51,49.0,49,48.0,51,66.0,48,50.0,47,3
N07683959,6,70.0,51,54.0,49,53.0,51,69.0,48,48.0,47,3
N07683972,4,48.0,51,50.0,49,42.0,51,59.0,48,56.0,47,3
N07683972,4,58.0,51,62.0,49,58.0,51,55.0,48,63.0,47,3
N07683972,4,67.0,51,69.0,49,66.0,51,57.0,48,68.0,47,3
N07683972,4,67.0,51,69.0,49,66.0,51,58.0,48,66.0,47,3
N07683972,4,71.0,51,74.0,49,70.0,51,52.0,48,68.0,47,4
