Unnamed: 0.1,Unnamed: 0,NID,Quarter,Herd,Lact,M_Sys,HWI,ABV_M_Resist,PI-M,Gest,DIM,AbCode,DCC,Ab_RxStat,TBred,Lact_xLame,Life_xLame,Lact_xMetabolic,Life_xMetabolic,Lact_xmast,Lact_qxmast,Life_xmast,TLSCC,TL150SCC,TL200SCC,TL_mean_logSCC,TL_sd_logSCC,LIFESCC,LIFE150SCC,LIFE200SCC,Outcome_Mean_logSCC_next_lact,Outcome_Std_logSCC_next_lact,Outcome_Count_logSCC_next_lact,Outcome_Next_Lact_max_xmast,Outcome_failure_T,Outcome_failure_D,Outcome_Lact_mast_reoccur,Outcome_Recurred,Pregnant,Outcome_Sold,Outcome_num_tests_30to60,Outcome_num_tests_30to60_SCC<200,Outcome_num_tests_60to90,Outcome_num_tests_60to90_SCC<200,Outcome_num_tests_after90,Outcome_num_tests_after90_SCC<200,Outcome_num_tests_30to100,Outcome_30to100_mean_logSCC,Outcome_30to100_sd_mean_logSCC,Outcome_num_tests_30to150,Outcome_30to150_mean_logSCC,Outcome_30to150_sd_mean_logSCC,DSLB,Outcome_Failure,pre_num_tests_0to30,pre_num_tests_0to30_max,pre_num_tests_0to30_logmean,pre_num_tests_0to30_SCC>150,pre_num_tests_0to30_SCC>200,pre_num_tests_0to30_SCC>1000,pre_num_tests_31to60,pre_num_tests_31to60_max,pre_num_tests_31to60_logmean,pre_num_tests_31to60_SCC>150,pre_num_tests_31to60_SCC>200,pre_num_tests_31to60_SCC>1000,pre_num_tests_61to90,pre_num_tests_61to90_max,pre_num_tests_61to90_logmean,pre_num_tests_61to90_SCC>150,pre_num_tests_61to90_SCC>200,pre_num_tests_61to90_SCC>1000,pre_num_tests_g90,pre_num_tests_g90_max,pre_num_tests_g90_logmean,pre_num_tests_g90_SCC>150,pre_num_tests_g90_SCC>200,pre_num_tests_g90_SCC>1000,prelact_SCC_count,prelact_SCC_max,prelact_logSCC_mean,prelact_SCC>150,prelact_SCC>200,prelact_SCC>1000,Rx_Year,Rx_Month,Prev_AllRxCodes,Outcome_Sold100,Outcome_Rec100,Outcome_Shortloss,Outcome_Longloss,pre_herd_mast_percent,pre_herd_fresh_mast_percent,pre_herd_greater14day_mast_percent,pre_herd_SCC_percent_g150,pre_herd_SCC__DIM_less31_percent_g150,pre_herd_SCC__DIM_more30_percent_g150,pre_herd_SCC_percent_g200,pre_herd_SCC__DIM_less31_percent_g200,pre_herd_SCC__DIM_more30_percent_g200
1150,1335,N10811905,11.0,FOR000H,7,,,,96.0,277.0,189,0,97.0,0,2.0,0.0,1.0,0.0,0.0,1,1.0,5,6.0,2.0,2.0,5.100950316488336,1.7725871279600698,70.0,36.0,18.0,6.601883104379434,2.273670604200824,4.0,1.0,0,0,0,0,1,0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,6.464135252957824,2.2958931060864094,4.0,6.294057735300802,1.9052004840522423,97.0,0,1.0,2813.0,7.942006808489856,1.0,1.0,1.0,1.0,130.0,4.867534450455582,0.0,0.0,0.0,1.0,127.0,4.844187086458591,0.0,0.0,0.0,3.0,468.0,4.317324517841995,1.0,1.0,0.0,64.0,9999.0,4.986757875449768,34.0,16.0,6.0,2019,9,36796,0.0,0.0,0.0,1.0,1.2362637362637363,8.108108108108109,0.8683068017366137,15.421521590130228,12.337662337662335,15.785440613026818,11.651816312542836,8.441558441558442,12.030651340996169
1151,1336,N10811905,11.0,FOR000H,8,,,,68.0,276.0,54,0,0.0,0,0.0,0.0,1.0,0.0,0.0,1,1.0,6,2.0,1.0,1.0,5.172417236266029,2.707258294188972,76.0,41.0,21.0,,,,,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0861025356691,99.0,1.0,8.0861025356691,99.0,,0,1.0,26.0,3.258096538021482,0.0,0.0,0.0,1.0,1196.0,7.086737934510577,1.0,1.0,1.0,,,,,,,,,,,,,74.0,9999.0,5.066681579309708,40.0,20.0,8.0,2020,5,36796,1.0,,,1.0,4.727793696275072,2.564102564102564,4.855842185128983,27.813620071684586,32.78688524590164,27.380015735641223,21.863799283154123,25.40983606557377,21.557828481510622
1152,1337,N10811906,12.0,FOR000H,2,,,,96.0,278.0,226,0,155.0,0,1.0,0.0,0.0,0.0,0.0,1,1.0,1,8.0,7.0,6.0,6.190972669453871,1.2487515364675643,20.0,12.0,8.0,6.827895718855681,1.2246869120502155,10.0,3.0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.177782416195197,99.0,1.0,7.177782416195197,99.0,155.0,0,1.0,2339.0,7.757478766584179,1.0,1.0,1.0,1.0,597.0,6.391917113392602,1.0,1.0,0.0,1.0,390.0,5.966146739123692,1.0,1.0,0.0,5.0,2219.0,5.882447747306097,4.0,3.0,2.0,12.0,249.0,4.728453216770873,5.0,2.0,0.0,2014,8,9999999,0.0,0.0,0.0,1.0,2.197802197802198,0.0,2.2988505747126435,27.44769874476988,24.8,27.7570093457944,20.334728033472803,20.8,20.28037383177569
1153,1338,N10811906,22.0,FOR000H,3,,,,89.0,301.0,112,0,34.0,0,2.0,0.0,0.0,0.0,0.0,1,1.0,2,4.0,4.0,4.0,6.704050360704692,0.7747739380039509,26.0,18.0,13.0,7.239214973779806,99.0,1.0,,0,0,2,1,1,0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,6.741817116677846,1.2162028264148752,4.0,6.293552810102927,1.3378576521872798,34.0,0,1.0,414.0,6.025865973825314,1.0,1.0,0.0,1.0,753.0,6.6240652277998935,1.0,1.0,0.0,1.0,578.0,6.359573868672378,1.0,1.0,0.0,1.0,2457.0,7.806696372521179,1.0,1.0,1.0,22.0,2339.0,5.392217541971306,14.0,9.0,4.0,2015,5,47941,0.0,1.0,1.0,,3.68271954674221,0.0,3.795620437956204,31.869688385269125,38.21138211382114,31.26454615981381,23.30028328611898,32.52032520325203,22.420480993017843
1154,1339,N10811906,21.0,FOR000H,3,,,,89.0,301.0,136,0,58.0,0,2.0,0.0,0.0,0.0,0.0,2,1.0,3,5.0,5.0,5.0,6.809931372288041,0.7115194546371725,27.0,19.0,14.0,7.239214973779806,99.0,1.0,,0,0,1,1,1,0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,6.956858270440312,1.6373278361678538,4.0,6.979391379490921,1.924737483520517,58.0,0,1.0,1385.0,7.233455418621439,1.0,1.0,1.0,1.0,414.0,6.025865973825314,1.0,1.0,0.0,1.0,753.0,6.6240652277998935,1.0,1.0,0.0,2.0,2457.0,7.083135120596778,2.0,2.0,1.0,22.0,2339.0,5.392217541971306,14.0,9.0,4.0,2015,6,49851,0.0,1.0,1.0,,4.619970193740686,9.523809523809524,4.461538461538462,36.14889047959914,27.55102040816326,36.797536566589685,26.48532569792412,25.51020408163265,26.558891454965355
1155,1340,N10811906,21.0,FOR000H,3,,,,89.0,301.0,206,0,128.0,0,2.0,0.0,0.0,0.0,0.0,3,2.0,4,7.0,7.0,7.0,6.5943549035790925,0.7035294318956389,29.0,21.0,16.0,7.239214973779806,99.0,1.0,,0,1,0,0,1,0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,7.00192448854153,2.9036132205069314,2.0,7.00192448854153,2.9036132205069314,128.0,1,1.0,330.0,5.799092654460526,1.0,1.0,0.0,1.0,551.0,6.311734809152915,1.0,1.0,0.0,1.0,1385.0,7.233455418621439,1.0,1.0,1.0,4.0,2457.0,6.704050360704692,4.0,4.0,1.0,22.0,2339.0,5.392217541971306,14.0,9.0,4.0,2015,8,47941,0.0,0.0,0.0,,2.1116138763197587,4.0,2.037617554858934,30.87557603686636,38.23529411764706,30.25,23.809523809523807,35.294117647058826,22.83333333333333
1156,1341,N10811907,22.0,FOR000H,5,,,,101.0,285.0,19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,,,,,,37.0,17.0,12.0,,,,,0,0,1,1,0,1,1.0,1.0,1.0,0.0,5.0,2.0,2.0,6.150429980696121,1.7401177412034758,4.0,5.849135304054503,1.175239136693851,,0,,,,,,,,,,,,,,,,,,,,,,,,,37.0,1066.0,4.774744740301324,17.0,12.0,1.0,2014,6,9999999,0.0,1.0,1.0,,5.564648117839607,6.666666666666667,5.5369127516778525,29.63855421686747,34.78260869565217,29.33673469387756,23.21285140562249,33.33333333333333,22.61904761904762
1157,1342,N10811907,12.0,FOR000H,5,,,,101.0,285.0,100,0,0.0,0,1.0,0.0,0.0,0.0,0.0,2,1.0,2,3.0,2.0,2.0,6.070552201810923,1.2382028328607722,40.0,19.0,14.0,,,,,1,0,0,0,0,1,1.0,0.0,1.0,1.0,2.0,0.0,2.0,5.679852176480452,0.6807389746805942,3.0,6.103506373801163,0.8775827098040161,43.0,1,1.0,1605.0,7.380879035564116,1.0,1.0,1.0,1.0,137.0,4.919980925828125,0.0,0.0,0.0,1.0,369.0,5.910796644040527,1.0,1.0,0.0,,,,,,,37.0,1066.0,4.774744740301324,17.0,12.0,1.0,2014,8,47941,0.0,0.0,0.0,,2.197802197802198,0.0,2.2988505747126435,27.44769874476988,24.8,27.7570093457944,20.334728033472803,20.8,20.28037383177569
1158,1343,N10811907,21.0,FOR000H,5,,,,101.0,285.0,105,0,0.0,0,1.0,0.0,0.0,0.0,0.0,2,1.0,2,3.0,2.0,2.0,6.070552201810923,1.2382028328607722,40.0,19.0,14.0,,,,,1,0,0,0,0,1,1.0,0.0,1.0,1.0,2.0,0.0,2.0,5.679852176480452,0.6807389746805942,4.0,6.611466517577548,1.24319278701761,48.0,1,1.0,1605.0,7.380879035564116,1.0,1.0,1.0,1.0,137.0,4.919980925828125,0.0,0.0,0.0,1.0,369.0,5.910796644040527,1.0,1.0,0.0,,,,,,,37.0,1066.0,4.774744740301324,17.0,12.0,1.0,2014,9,47941,0.0,0.0,0.0,,3.001579778830964,3.571428571428571,2.975206611570248,27.44769874476988,24.8,27.7570093457944,20.334728033472803,20.8,20.28037383177569
1159,1344,N10811907,22.0,FOR000H,5,,,,101.0,285.0,105,0,0.0,0,1.0,0.0,0.0,0.0,0.0,2,2.0,2,3.0,2.0,2.0,6.070552201810923,1.2382028328607722,40.0,19.0,14.0,,,,,1,0,0,0,0,1,1.0,0.0,1.0,1.0,2.0,0.0,2.0,5.679852176480452,0.6807389746805942,4.0,6.611466517577548,1.24319278701761,48.0,1,1.0,1605.0,7.380879035564116,1.0,1.0,1.0,1.0,137.0,4.919980925828125,0.0,0.0,0.0,1.0,369.0,5.910796644040527,1.0,1.0,0.0,,,,,,,37.0,1066.0,4.774744740301324,17.0,12.0,1.0,2014,9,47941,0.0,0.0,0.0,,3.001579778830964,3.571428571428571,2.975206611570248,27.44769874476988,24.8,27.7570093457944,20.334728033472803,20.8,20.28037383177569
