CowID,Lact,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
N04581251,5,77.0,56,47.0,55,53.0,60,47.0,49,26.0,53,4
N04581252,7,68.0,56,47.0,55,50.0,60,52.0,49,41.0,53,3
N04581253,6,26.0,56,39.0,55,45.0,60,59.0,49,34.0,53,2
N04581253,7,81.0,56,68.0,55,81.0,60,63.0,49,63.0,53,4
N04581253,8,85.0,56,70.0,55,85.0,60,54.0,49,64.0,53,4
N04581253,8,87.0,56,76.0,55,90.0,60,59.0,49,66.0,53,4
N04581253,8,88.0,56,83.0,55,94.0,60,66.0,49,65.0,53,5
N04581253,8,91.0,56,83.0,55,95.0,60,32.0,49,61.0,53,5
N04581253,8,92.0,56,84.0,55,95.0,60,54.0,49,66.0,53,5
N04581253,8,92.0,56,85.0,55,96.0,60,51.0,49,58.0,53,5
N04581253,8,94.0,56,80.0,55,96.0,60,49.0,49,64.0,53,5
N04581257,6,32.0,56,41.0,55,56.0,60,39.0,49,29.0,53,3
N04581261,5,68.0,56,57.0,55,58.0,60,60.0,49,61.0,53,3
N04581261,5,68.0,56,57.0,55,58.0,60,59.0,49,61.0,53,3
N04591642,5,56.0,56,51.0,55,49.0,60,60.0,49,60.0,53,3
N04591642,6,26.0,56,53.0,55,51.0,60,59.0,49,58.0,53,3
N04591642,6,24.0,56,64.0,55,59.0,60,60.0,49,52.0,53,3
N04591642,6,26.0,56,64.0,55,59.0,60,68.0,49,45.0,53,3
N04591648,5,69.0,56,48.0,55,67.0,60,48.0,49,49.0,53,3
N04591648,6,76.0,56,64.0,55,63.0,60,53.0,49,51.0,53,4
N05604298,7,72.0,56,58.0,55,66.0,60,47.0,49,51.0,53,4
N05604298,7,80.0,56,70.0,55,73.0,60,60.0,49,54.0,53,4
N05604298,7,86.0,56,79.0,55,78.0,60,65.0,49,61.0,53,4
N05604300,5,72.0,56,58.0,55,55.0,60,37.0,49,41.0,53,4
N05604301,6,65.0,56,50.0,55,63.0,60,52.0,49,59.0,53,3
N05604301,7,78.0,56,63.0,55,71.0,60,51.0,49,49.0,53,4
N05604302,5,65.0,56,46.0,55,49.0,60,47.0,49,32.0,53,3
N05608060,8,71.0,56,59.0,55,69.0,60,66.0,49,47.0,53,4
N05608061,5,72.0,56,64.0,55,79.0,60,47.0,49,58.0,53,4
N05608061,6,85.0,56,73.0,55,90.0,60,70.0,49,65.0,53,4
N05608071,7,70.0,56,55.0,55,68.0,60,68.0,49,40.0,53,3
N05608071,8,70.0,56,63.0,55,66.0,60,56.0,49,61.0,53,3
N05608071,8,82.0,56,75.0,55,75.0,60,59.0,49,65.0,53,4
N05608071,8,84.0,56,78.0,55,80.0,60,51.0,49,68.0,53,4
N05610560,5,64.0,56,49.0,55,57.0,60,39.0,49,49.0,53,3
N05610560,5,76.0,56,63.0,55,67.0,60,56.0,49,59.0,53,4
N05613724,6,72.0,56,53.0,55,76.0,60,40.0,49,49.0,53,4
N05613724,7,79.0,56,68.0,55,85.0,60,59.0,49,61.0,53,4
N05615425,4,72.0,56,60.0,55,73.0,60,25.0,49,40.0,53,4
N06645998,5,61.0,56,45.0,55,48.0,60,52.0,49,52.0,53,3
N06645998,6,38.0,56,50.0,55,64.0,60,62.0,49,53.0,53,3
N06645998,7,91.0,56,77.0,55,91.0,60,62.0,49,55.0,53,5
N06652086,4,86.0,56,62.0,55,82.0,60,46.0,49,43.0,53,4
N06652087,4,65.0,56,55.0,55,71.0,60,46.0,49,42.0,53,4
N06652090,4,29.0,56,42.0,55,56.0,60,56.0,49,36.0,53,3
N06652090,4,27.0,56,50.0,55,62.0,60,52.0,49,38.0,53,3
N06652090,4,24.0,56,37.0,55,68.0,60,58.0,49,27.0,53,3
N06652090,6,84.0,56,74.0,55,83.0,60,45.0,49,66.0,53,4
N06652091,5,17.0,56,32.0,55,37.0,60,53.0,49,38.0,53,2
N06652091,7,78.0,56,63.0,55,73.0,60,64.0,49,64.0,53,4
N06652091,7,84.0,56,78.0,55,87.0,60,63.0,49,60.0,53,4
N06652092,6,68.0,56,60.0,55,66.0,60,59.0,49,65.0,53,3
N06652092,6,74.0,56,72.0,55,75.0,60,54.0,49,70.0,53,4
N06652092,6,81.0,56,80.0,55,80.0,60,49.0,49,76.0,53,4
N06652092,6,35.0,56,57.0,55,62.0,60,64.0,49,75.0,53,4
N06652092,6,29.0,56,66.0,55,66.0,60,56.0,49,64.0,53,3
N06652092,8,84.0,56,73.0,55,83.0,60,60.0,49,68.0,53,4
N06652093,5,64.0,56,50.0,55,62.0,60,53.0,49,55.0,53,3
N06652098,4,55.0,56,47.0,55,37.0,60,57.0,49,53.0,53,3
N06652098,4,66.0,56,64.0,55,56.0,60,61.0,49,51.0,53,3
N06652101,4,50.0,56,52.0,55,47.0,60,57.0,49,61.0,53,3
N06652101,4,57.0,56,66.0,55,64.0,60,63.0,49,65.0,53,3
N06652101,4,76.0,56,74.0,55,73.0,60,59.0,49,54.0,53,4
N06652101,4,25.0,56,60.0,55,64.0,60,32.0,49,56.0,53,3
