CowID,Lact,DIM,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
N03549614,6,10,68.0,45,63.0,50,70.0,53,64.0,57,66.0,50,3
N03549614,6,112,82.0,45,74.0,50,77.0,53,67.0,57,69.0,50,4
N03549614,6,115,82.0,45,74.0,50,77.0,53,61.0,57,69.0,50,4
N03549614,6,308,28.0,45,63.0,50,68.0,53,57.0,57,57.0,50,3
N03550757,9,204,83.0,45,54.0,50,83.0,53,65.0,57,53.0,50,4
N03553752,6,352,25.0,45,38.0,50,68.0,53,68.0,57,15.0,50,3
N03553752,7,97,90.0,45,72.0,50,92.0,53,62.0,57,58.0,50,5
N03553752,7,99,90.0,45,72.0,50,92.0,53,62.0,57,57.0,50,5
N03556332,7,165,67.0,45,56.0,50,61.0,53,68.0,57,45.0,50,3
N03556332,7,172,29.0,45,54.0,50,52.0,53,65.0,57,45.0,50,3
N03556341,5,173,64.0,45,53.0,50,53.0,53,57.0,57,46.0,50,3
N03556341,5,194,74.0,45,67.0,50,74.0,53,55.0,57,53.0,50,4
N03558028,6,215,24.0,45,45.0,50,46.0,53,72.0,57,53.0,50,3
N03558028,6,224,24.0,45,45.0,50,46.0,53,67.0,57,49.0,50,2
N03558028,6,256,27.0,45,49.0,50,54.0,53,63.0,57,44.0,50,3
N04559797,6,209,23.0,45,40.0,50,58.0,53,54.0,57,47.0,50,3
N04559797,6,221,22.0,45,53.0,50,61.0,53,67.0,57,51.0,50,3
N04559802,6,5,65.0,45,58.0,50,70.0,53,65.0,57,59.0,50,3
N04559802,6,27,73.0,45,70.0,50,74.0,53,65.0,57,72.0,50,4
N04559802,6,31,73.0,45,71.0,50,74.0,53,69.0,57,72.0,50,4
N04559804,7,13,72.0,45,59.0,50,78.0,53,67.0,57,53.0,50,4
N04563956,5,318,21.0,45,42.0,50,61.0,53,41.0,57,26.0,50,3
N04563956,6,5,74.0,45,65.0,50,75.0,53,58.0,57,65.0,50,4
N04563956,6,199,84.0,45,78.0,50,83.0,53,67.0,57,69.0,50,4
N04563956,6,220,86.0,45,80.0,50,86.0,53,60.0,57,66.0,50,4
N04563962,5,242,22.0,45,39.0,50,49.0,53,67.0,57,33.0,50,2
N04563962,5,251,22.0,45,39.0,50,49.0,53,62.0,57,33.0,50,2
N04563962,6,75,72.0,45,61.0,50,68.0,53,67.0,57,64.0,50,4
N04570322,6,414,72.0,45,52.0,50,55.0,53,60.0,57,41.0,50,4
N04570322,7,60,69.0,45,56.0,50,61.0,53,58.0,57,55.0,50,3
N04570322,8,293,83.0,45,66.0,50,75.0,53,63.0,57,33.0,50,4
N04570327,5,7,78.0,45,70.0,50,75.0,53,70.0,57,65.0,50,4
N04570330,5,283,79.0,45,68.0,50,74.0,53,53.0,57,59.0,50,4
N04570330,5,303,84.0,45,77.0,50,78.0,53,60.0,57,59.0,50,4
N04570330,5,319,85.0,45,79.0,50,83.0,53,50.0,57,55.0,50,4
N04570332,6,42,78.0,45,68.0,50,77.0,53,73.0,57,69.0,50,4
N04570332,6,48,78.0,45,63.0,50,75.0,53,68.0,57,61.0,50,4
N04570332,6,55,78.0,45,63.0,50,75.0,53,65.0,57,61.0,50,4
N04570332,6,102,83.0,45,74.0,50,79.0,53,59.0,57,71.0,50,4
N04570332,6,140,87.0,45,80.0,50,83.0,53,63.0,57,67.0,50,4
N04573776,4,310,14.0,45,45.0,50,57.0,53,63.0,57,28.0,50,3
N04573776,4,311,14.0,45,45.0,50,57.0,53,68.0,57,18.0,50,3
N04573783,5,264,78.0,45,67.0,50,75.0,53,54.0,57,58.0,50,4
N04577456,6,9,64.0,45,55.0,50,70.0,53,64.0,57,65.0,50,3
N04577456,6,402,19.0,45,33.0,50,52.0,53,41.0,57,16.0,50,3
N04577458,7,14,72.0,45,64.0,50,72.0,53,64.0,57,58.0,50,4
N04577458,7,49,78.0,45,75.0,50,79.0,53,62.0,57,63.0,50,4
N04577465,6,5,67.0,45,60.0,50,65.0,53,65.0,57,59.0,50,3
N04577465,6,92,80.0,45,74.0,50,78.0,53,73.0,57,71.0,50,4
N04577465,6,116,83.0,45,75.0,50,81.0,53,47.0,57,63.0,50,4
N04577470,5,111,85.0,45,77.0,50,82.0,53,62.0,57,70.0,50,4
N04577470,5,119,85.0,45,77.0,50,82.0,53,62.0,57,70.0,50,4
N04577470,5,131,86.0,45,80.0,50,85.0,53,63.0,57,69.0,50,4
N04581670,5,375,18.0,45,53.0,50,53.0,53,47.0,57,36.0,50,3
N04581670,5,386,18.0,45,60.0,50,57.0,53,72.0,57,32.0,50,3
N04581670,6,3,83.0,45,78.0,50,91.0,53,41.0,57,66.0,50,5
N04581671,5,254,21.0,45,39.0,50,38.0,53,71.0,57,33.0,50,2
N04581671,7,215,81.0,45,70.0,50,84.0,53,66.0,57,51.0,50,4
N04581671,7,222,81.0,45,70.0,50,84.0,53,72.0,57,51.0,50,4
N04581674,5,131,62.0,45,63.0,50,75.0,53,74.0,57,61.0,50,4
N04581674,5,133,62.0,45,63.0,50,75.0,53,76.0,57,63.0,50,4
N04581674,5,134,62.0,45,63.0,50,75.0,53,71.0,57,63.0,50,4
N04581674,5,193,29.0,45,55.0,50,66.0,53,52.0,57,56.0,50,3
N04581674,5,199,25.0,45,54.0,50,66.0,53,52.0,57,55.0,50,3
N04581674,6,72,89.0,45,76.0,50,91.0,53,78.0,57,65.0,50,5
N04581674,6,75,90.0,45,76.0,50,91.0,53,78.0,57,68.0,50,5
N04581679,5,118,80.0,45,71.0,50,83.0,53,39.0,57,64.0,50,4
N04590621,5,132,68.0,45,53.0,50,75.0,53,74.0,57,52.0,50,4
N04593917,6,2,63.0,45,55.0,50,64.0,53,71.0,57,61.0,50,3
N04593917,7,5,66.0,45,58.0,50,71.0,53,67.0,57,53.0,50,4
N04593919,4,180,23.0,45,42.0,50,55.0,53,65.0,57,60.0,50,3
N04593919,4,181,22.0,45,42.0,50,55.0,53,68.0,57,61.0,50,3
N04593919,5,0,64.0,45,58.0,50,71.0,53,51.0,57,55.0,50,4
N04593933,4,89,58.0,45,60.0,50,68.0,53,49.0,57,55.0,50,3
N04593933,4,99,68.0,45,72.0,50,73.0,53,69.0,57,61.0,50,4
N04593933,4,181,77.0,45,81.0,50,78.0,53,56.0,57,59.0,50,4
N04593933,4,198,29.0,45,67.0,50,63.0,53,48.0,57,63.0,50,3
N04593940,5,226,66.0,45,54.0,50,58.0,53,60.0,57,42.0,50,3
N04593940,6,9,65.0,45,60.0,50,65.0,53,69.0,57,67.0,50,3
N04593940,6,46,72.0,45,73.0,50,74.0,53,58.0,57,73.0,50,4
N04593941,6,102,78.0,45,66.0,50,70.0,53,69.0,57,53.0,50,4
N04593941,6,126,84.0,45,74.0,50,78.0,53,69.0,57,57.0,50,4
N04593944,5,148,61.0,45,50.0,50,49.0,53,71.0,57,59.0,50,3
N04593957,6,3,59.0,45,55.0,50,59.0,53,49.0,57,48.0,50,3
N04595943,5,3,49.0,45,43.0,50,47.0,53,35.0,57,47.0,50,2
N04595943,5,72,66.0,45,62.0,50,60.0,53,68.0,57,59.0,50,3
N04595943,5,268,82.0,45,73.0,50,66.0,53,64.0,57,55.0,50,4
N04595952,6,70,61.0,45,55.0,50,61.0,53,63.0,57,57.0,50,3
N04595952,6,87,69.0,45,67.0,50,70.0,53,56.0,57,58.0,50,3
N04595952,6,152,27.0,45,56.0,50,48.0,53,60.0,57,60.0,50,3
N04595955,5,28,79.0,45,67.0,50,79.0,53,33.0,57,59.0,50,4
N05598836,5,212,31.0,45,47.0,50,63.0,53,72.0,57,49.0,50,3
N05598836,6,126,82.0,45,70.0,50,82.0,53,69.0,57,55.0,50,4
N05598836,6,148,87.0,45,77.0,50,84.0,53,60.0,57,66.0,50,4
N05598836,6,163,89.0,45,82.0,50,86.0,53,60.0,57,70.0,50,4
N05598841,6,9,64.0,45,58.0,50,71.0,53,63.0,57,63.0,50,4
N05598841,6,18,73.0,45,68.0,50,79.0,53,54.0,57,65.0,50,4
N05598891,5,1,54.0,45,60.0,50,71.0,53,64.0,57,59.0,50,4
N05598891,5,5,54.0,45,60.0,50,71.0,53,68.0,57,65.0,50,4
N05598895,5,253,14.0,45,28.0,50,52.0,53,61.0,57,15.0,50,3
N05598898,6,2,64.0,45,58.0,50,61.0,53,68.0,57,62.0,50,3
N05598899,4,181,24.0,45,53.0,50,53.0,53,56.0,57,47.0,50,3
N05598899,4,228,20.0,45,42.0,50,59.0,53,45.0,57,36.0,50,3
N05598899,5,158,85.0,45,71.0,50,81.0,53,70.0,57,64.0,50,4
N05598899,5,165,85.0,45,72.0,50,81.0,53,72.0,57,68.0,50,4
N05606097,5,7,67.0,45,61.0,50,74.0,53,67.0,57,68.0,50,4
N05606097,5,13,68.0,45,61.0,50,74.0,53,67.0,57,72.0,50,4
N05606098,4,262,23.0,45,54.0,50,66.0,53,57.0,57,59.0,50,3
N05606098,6,3,82.0,45,73.0,50,86.0,53,66.0,57,76.0,50,4
N05606098,6,8,82.0,45,73.0,50,86.0,53,63.0,57,77.0,50,4
N05606098,7,114,87.0,45,60.0,50,79.0,53,41.0,57,32.0,50,4
N05606099,4,262,20.0,45,42.0,50,34.0,53,44.0,57,30.0,50,2
N05606099,4,278,18.0,45,56.0,50,35.0,53,58.0,57,40.0,50,3
N05606099,4,339,16.0,45,51.0,50,42.0,53,37.0,57,33.0,50,3
N05606099,5,75,77.0,45,78.0,50,81.0,53,72.0,57,72.0,50,4
N05606099,5,91,83.0,45,78.0,50,86.0,53,70.0,57,71.0,50,4
N05606103,5,42,78.0,45,73.0,50,91.0,53,73.0,57,69.0,50,5
N05606103,5,48,78.0,45,69.0,50,91.0,53,69.0,57,69.0,50,5
N05606103,6,48,78.0,45,66.0,50,80.0,53,64.0,57,51.0,50,4
N05606103,6,59,83.0,45,73.0,50,84.0,53,67.0,57,54.0,50,4
N05606104,4,245,15.0,45,38.0,50,50.0,53,52.0,57,32.0,50,3
N05606104,4,280,16.0,45,35.0,50,53.0,53,39.0,57,39.0,50,3
N05606104,4,296,17.0,45,44.0,50,57.0,53,63.0,57,23.0,50,3
N05606104,5,464,12.0,45,28.0,50,58.0,53,26.0,57,7.0,50,3
N05606104,6,0,77.0,45,73.0,50,80.0,53,66.0,57,68.0,50,4
N05606107,6,10,67.0,45,63.0,50,73.0,53,65.0,57,66.0,50,4
